new entry "Target_TMG_Summon_Chest"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Transmutation"
data "SpellProperties" "SummonInInventory(7155bfc2-47f8-4a9e-8584-49637cefad99,10,1,false,false,false)"
data "TargetRadius" "6"
data "TargetConditions" "Player() and not Dead() and not Summon()"
data "Icon" "AMX_Item_AMX_BASKET_AMULET"
data "DisplayName" "h5bf0d594gdfc7g4555gbdfbgb0cceef34f14;1"
data "Description" "h1ddc2dcbg9b14g4e20g9e37gc1b649172119;1"
data "ExtraDescription" "h4792a815g6ad5g4c9dgbed5gb95a1e368662;1"
data "DescriptionParams" ""
data "TooltipDamageList" ""
data "TooltipUpcastDescription" ""
data "CastSound" "Spell_Cast_Summon_Goodberry_L1to3"
data "CastTextEvent" "Cast"
data "CycleConditions" "Ally() and not Dead()"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "6f42f5f3-7a5a-4441-a02e-71b0450ac4b7,,;,,;29cc8ef2-e45e-4513-8f98-085d0dad7bc1,,;bb428832-db99-4236-8a81-a2737b81d0cc,,;42aaefdc-cf9b-4249-b159-285041851f69,,;,,;20e11c98-fff9-4417-88de-5bcc2368a1bd,,;8dd1cfd4-c954-46f0-bbcc-8d9431284f63,,;fcf4f367-691a-4adc-a2a8-f9ab7709c42b,,"
data "VerbalIntent" "Summon"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent;IsMelee"
data "RechargeValues" "4-6"
data "HitAnimationType" "MagicalNonDamage"
data "MemoryCost" "0"
data "PrepareEffect" "f2e02f51-70c2-482b-bcac-2dac285fda14"
data "CastEffect" "e7d9a675-3a62-4eb5-9d90-f41884b1f524"
data "TargetEffect" "45f03e64-4e97-42a3-8597-af369687c896"
data "DamageType" "Cold"
